,BookTitles
0,The Very Hungry Caterpillar
1,Where the Wild Things Are
2,Green Eggs and Ham
3,Goodnight Moon
4,The Cat in the Hat
5,The Giving Tree
6,The Lorax
7,If You Give a Mouse a Cookie
8,Madeline
9,The Monster at the End of this Book
10,Corduroy
11,Chicka Chicka Boom Boom
12,How the Grinch Stole Christmas!
13,The Tale of Peter Rabbit
14,Harold and the Purple Crayon
15,"Oh, The Places You'll Go!"
16,"Brown Bear, Brown Bear, What Do You See?"
17,Are You My Mother?
18,"One Fish, Two Fish, Red Fish, Blue Fish"
19,The Polar Express
20,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
21,Make Way for Ducklings
22,Love You Forever
23,Curious George
24,Horton Hears a Who!
25,Stellaluna
26,The Velveteen Rabbit
27,Cloudy With a Chance of Meatballs
28,The Poky Little Puppy
29,Naughty Nana
30,The Napping House
31,Frog and Toad Are Friends
32,"Go, Dog. Go!"
33,"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear"
34,Don't Let the Pigeon Drive the Bus!
35,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business"
36,The Mitten
37,Blueberries for Sal
38,The Story of Ferdinand
39,The Runaway Bunny
40,The Story of Babar
41,The Snowy Day
42,The Little House
43,Guess How Much I Love You
44,Miss Nelson Is Missing!
45,Mike Mulligan and His Steam Shovel
46,A Bad Case of Stripes
47,The True Story of the 3 Little Pigs
48,Little Bear
49,"Click, Clack, Moo: Cows That Type"
50,Chrysanthemum
51,Owl Babies
52,Sylvester and the Magic Pebble
53,The Snowman
54,Knuffle Bunny: A Cautionary Tale
55,The Gruffalo
56,I Want My Hat Back
57,Animalia
58,Strega Nona
59,Miss Rumphius
60,Owl Moon
61,If You Give a Pig a Pancake
62,We're Going on a Bear Hunt
63,Tuesday
64,The Little Engine That Could
65,Bread and Jam for Frances
66,Llama Llama Red Pajama
67,The Kissing Hand
68,Fancy Nancy
69,Fox in Socks
70,The Dot
71,Olivia
72,Lilly's Purple Plastic Purse
73,Jumanji
74,In the Night Kitchen
75,Pat the Bunny
76,The Day the Crayons Quit
77,Horton Hatches the Egg
78,Each Peach Pear Plum
79,The Complete Tales
80,Bear Snores On
81,Amelia Bedelia 
82,Tikki Tikki Tembo
83,Library Lion
84,"Good Night, Gorilla"
85,The Little Prince
86,The Arrival
87,The 500 Hats of Bartholomew Cubbins
88,The Ugly Duckling
89,Hairy Maclary from Donaldson's Dairy
90,The Rainbow Fish
91,Richard Scarry's Best Storybook Ever!
92,Frédéric
93,Chicken Soup with Rice: A Book of Months
94,Rapunzel
95,You Are Special
96,But Not the Hippopotamus
97,The Tale of Tom Kitten
98,Madeline's Rescue
99,Flotsam
100,The Tale of Benjamin Bunny
101,Timothy Mean and the Time Machine
102,The Enormous Crocodile
103,There's a Wocket in My Pocket!
104,Richard Scarry's Best Word Book Ever
105,Room on the Broom
106,Roxaboxen
107,The Tiger Who Came to Tea
108,Liam and the Grump
109,Millions of Cats
110,"Good Dog, Carl"
111,Hop On Pop
112,Tawny Scrawny Lion
113,The Little Rose
114,Ballet Boy
115,The Magic of Maxwell and His Tail
116,Turtle Wish
117,"Hand, Hand, Fingers, Thumb"
118,Where Is the Green Sheep?
119,"Bark, George"
120,King Bidgood's in the Bathtub
121,Elmer
122,The Quiltmaker's Gift
123,The Tomten
124,The Great Eclipse
125,Katy and the Big Snow
126,There Is a Bird on Your Head!
127,Silly Sally
128,Extra Yarn
129,Skippyjon Jones
130,Owen
131,A Kiss for Little Bear
132,The Tailor of Gloucester
133,The Rainbabies
134,Boring Bob
135,Nutcracker
136,The Stinky Cheese Man and Other Fairly Stupid Tales
137,Mouse Paint
138,The Pout-Pout Fish
139,The Tale of Mr. Jeremy Fisher
140,"Can't You Sleep, Little Bear?"
141,Clifford the Big Red Dog
142,Wilfrid Gordon McDonald Partridge
143,Ish
144,Noah's Ark
145,Fortunately
146,Kitten's First Full Moon
147,Lalibella the Ladybug: Paints her World
148,The Unfriendly Dragon
149,The Country Bunny and the Little Gold Shoes
150,Best Friends for Frances
151,Press Here
152,Stone Soup
153,"Puff, the Magic Dragon"
154,Journey
155,Sam and the Firefly
156,The Rough-Face Girl
157,Froggy Gets Dressed
158,Lon Po Po: A Red-Riding Hood Story from China
159,The Tale of Mrs. Tittlemouse
160,The Paper Bag Princess
161,Mufaro's Beautiful Daughters: An African Tale
162,Jamberry
163,There's a Nightmare in My Closet
164,Little Red Riding Hood
165,Lost and Found
166,Miss Nelson Is Back
167,The Wolves in the Walls
168,Planting a Rainbow
169,I Know an Old Woman Who Swallowed a Fly
170,Freight Train
171,Our Animal Friends at Maple Hill Farm
172,Meg and Mog
173,It Looked Like Spilt Milk
174,Linnea in Monet's Garden
175,The Butter Battle Book
176,Officer Buckle and Gloria
177,Fetch
178,From Head to Toe
179,Stick Man
180,D'Aulaires' Book of Greek Myths
181,The Red Tree
182,Diary of a Wombat
183,Grandfather Twilight
184,Leo the Late Bloomer
185,"Please, Baby, Please"
186,My Friend is Sad
187,Should I Share My Ice Cream?
