,BookTitles
0,Don't Let the Pigeon Drive the Bus!
1,Green Eggs and Ham
2,Where the Wild Things Are
3,Chicka Chicka Boom Boom
4,The Monster at the End of this Book
5,Skippyjon Jones
6,The Very Hungry Caterpillar
7,Goodnight Moon
8,If You Give a Mouse a Cookie
9,"One Fish, Two Fish, Red Fish, Blue Fish"
10,Are You My Mother?
11,Knuffle Bunny: A Cautionary Tale
12,"Brown Bear, Brown Bear, What Do You See?"
13,"Click, Clack, Moo: Cows That Type"
14,"Bark, George"
15,The Cat in the Hat
16,The Giving Tree
17,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
18,Llama Llama Red Pajama
19,We're Going on a Bear Hunt
20,Don't Let the Pigeon Stay Up Late!
21,The Pigeon Finds a Hot Dog!
22,Love You Forever
23,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business"
24,Where the Sidewalk Ends
25,Guess How Much I Love You
26,Mr. Brown Can Moo! Can You?
27,A Light in the Attic
28,"Hand, Hand, Fingers, Thumb"
29,"No, David!"
30,There Is a Bird on Your Head!
31,Frog and Toad Are Friends
32,The Story of Ferdinand
33,The Lorax
34,The Napping House
35,Olivia
36,Curious George
37,We are in a Book!
38,"Good Night, Gorilla"
39,Bear Snores On
40,Barnyard Dance
41,"Moo, Baa, La La La!"
42,"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear"
43,Strega Nona
44,Fox in Socks
45,Bread and Jam for Frances
46,The Paper Bag Princess
47,Corduroy
48,The Rainbow Fish
49,Hop On Pop
50,"Leonardo, the Terrible Monster"
51,Duck On A Bike
52,The Pout-Pout Fish
53,The Little Old Lady Who Was Not Afraid of Anything
54,The Night Before Christmas
55,Dr. Seuss's ABC: An Amazing Alphabet Book!
56,Winnie-the-Pooh
57,Knuffle Bunny Too: A Case of Mistaken Identity
58,The Sneetches and Other Stories
59,Tikki Tikki Tembo
60,"Blue Hat, Green Hat"
61,There's a Wocket in My Pocket!
62,"Oh, The Places You'll Go!"
63,Stellaluna
64,The Pigeon Wants a Puppy!
65,The Kissing Hand
66,The Gruffalo
67,Little Bear
68,Owl Babies
69,"Go, Dog. Go!"
70,Officer Buckle and Gloria
71,The Stinky Cheese Man and Other Fairly Stupid Tales
72,But Not the Hippopotamus
73,Goblinheart
74,Put Me in the Zoo
75,There Was an Old Lady Who Swallowed a Fly
76,I Will Surprise My Friend!
77,The Runaway Bunny
78,Blueberries for Sal
79,Everyone Poops
80,Chicken Soup with Rice: A Book of Months
81,I Stink!
82,Owl Moon
83,Jamberry
84,Where Is the Green Sheep?
85,The Cat in the Hat Comes Back
86,"Go Away, Big Green Monster!"
87,Frog and Toad Together
88,Dinosaur vs. Bedtime
89,Millions of Cats
90,King Bidgood's in the Bathtub
91,Doggies: A Counting and Barking Book
92,In the Night Kitchen
93,Hippos Go Berserk!
94,The Duckling Gets a Cookie!?
95,The Book with No Pictures
96,The BFG
97,The Foot Book: Dr. Seuss's Wacky Book of Opposites
98,"Hi, Pizza Man!"
99,Chickens to the Rescue
100,The Little Red Hen
101,A Pocket for Corduroy
102,Scaredy Squirrel
103,Some Dogs Do
104,Pierre: A Cautionary Tale in Five Chapters and a Prologue
105,Each Peach Pear Plum
106,If You Give a Pig a Party
107,If You Give a Cat a Cupcake
108,The Book of Noise!
109,The Wonderful Wizard of Oz
110,Cloudy With a Chance of Meatballs
111,Mr. Gumpy's Outing
112,The Day the Crayons Quit
113,The Going to Bed Book
114,My Friend is Sad
115,The Velveteen Rabbit
116,That's Not My Teddy
117,Giraffes Can't Dance
118,Madeline
119,I Broke My Trunk!
