,BookTitles
0,The Very Hungry Caterpillar
1,Chicka Chicka Boom Boom
2,Green Eggs and Ham
3,"Brown Bear, Brown Bear, What Do You See?"
4,Where the Wild Things Are
5,If You Give a Mouse a Cookie
6,We're Going on a Bear Hunt
7,Are You My Mother?
8,Corduroy
9,Goodnight Moon
10,The Cat in the Hat
11,Dr. Seuss's ABC: An Amazing Alphabet Book!
12,Don't Let the Pigeon Drive the Bus!
13,The Kissing Hand
14,Knuffle Bunny: A Cautionary Tale
15,"No, David!"
16,"Go, Dog. Go!"
17,Press Here
18,The Snowy Day
19,"One Fish, Two Fish, Red Fish, Blue Fish"
20,The Mitten
21,Pete the Cat and His Four Groovy Buttons
22,The Little Engine That Could
23,Love You Forever
24,The Rainbow Fish
25,Madeline
26,Curious George
27,Kitten's First Full Moon
28,Why Do Tigers Have Stripes?
29,The Grouchy Ladybug
30,Things People Do
31,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business"
32,If You Give a Moose a Muffin
33,Hop On Pop
34,"A Greyhound, A Groundhog"
35,They All Saw a Cat
36,The Monster at the End of this Book
37,Frog and Toad Are Friends
38,I Want My Hat Back
39,Llama Llama Red Pajama
40,Blueberries for Sal
41,Mouse Paint
42,Inch by Inch
43,"Polar Bear, Polar Bear, What Do You Hear?"
44,Pete the Cat: I Love My White Shoes
45,The Foot Book: Dr. Seuss's Wacky Book of Opposites
46,The Berenstain Bears' Big Book of Science and Nature
47,How the Grinch Stole Christmas!
48,Happy
49,Owl Sees Owl
50,The Very Hungry Caterpillar
51,Chicka Chicka Boom Boom
52,Green Eggs and Ham
53,"Brown Bear, Brown Bear, What Do You See?"
54,Where the Wild Things Are
55,If You Give a Mouse a Cookie
56,We're Going on a Bear Hunt
57,Are You My Mother?
58,Corduroy
59,Goodnight Moon
60,The Cat in the Hat
61,Dr. Seuss's ABC: An Amazing Alphabet Book!
62,Don't Let the Pigeon Drive the Bus!
63,The Kissing Hand
64,Knuffle Bunny: A Cautionary Tale
65,"No, David!"
66,"Go, Dog. Go!"
67,Press Here
68,The Snowy Day
69,"One Fish, Two Fish, Red Fish, Blue Fish"
70,The Mitten
71,Pete the Cat and His Four Groovy Buttons
72,The Little Engine That Could
73,Love You Forever
74,The Rainbow Fish
75,Madeline
76,Curious George
77,Kitten's First Full Moon
78,Why Do Tigers Have Stripes?
79,The Grouchy Ladybug
80,Things People Do
81,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business"
82,If You Give a Moose a Muffin
83,Hop On Pop
84,"A Greyhound, A Groundhog"
85,They All Saw a Cat
86,The Monster at the End of this Book
87,Frog and Toad Are Friends
88,I Want My Hat Back
89,Llama Llama Red Pajama
90,Blueberries for Sal
91,Mouse Paint
92,Inch by Inch
93,"Polar Bear, Polar Bear, What Do You Hear?"
94,Pete the Cat: I Love My White Shoes
95,The Foot Book: Dr. Seuss's Wacky Book of Opposites
96,The Berenstain Bears' Big Book of Science and Nature
97,How the Grinch Stole Christmas!
98,Happy
99,Owl Sees Owl
100,The Very Hungry Caterpillar
101,Chicka Chicka Boom Boom
102,Green Eggs and Ham
103,"Brown Bear, Brown Bear, What Do You See?"
104,Where the Wild Things Are
105,If You Give a Mouse a Cookie
106,We're Going on a Bear Hunt
107,Are You My Mother?
108,Corduroy
109,Goodnight Moon
110,The Cat in the Hat
111,Dr. Seuss's ABC: An Amazing Alphabet Book!
112,Don't Let the Pigeon Drive the Bus!
113,The Kissing Hand
114,Knuffle Bunny: A Cautionary Tale
115,"No, David!"
116,"Go, Dog. Go!"
117,Press Here
118,The Snowy Day
119,"One Fish, Two Fish, Red Fish, Blue Fish"
120,The Mitten
121,Pete the Cat and His Four Groovy Buttons
122,The Little Engine That Could
